City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (C°),Wind Speed (kmph)
Port Elizabeth,0,ZA,1588959251,93,-33.92,25.57,17.0,2.6
Olafsvik,0,IS,1588959251,66,64.89,-23.71,3.85,3.69
Hithadhoo,71,MV,1588959251,78,-0.6,73.08,29.65,6.65
East London,37,ZA,1588959228,81,-33.02,27.91,21.11,2.87
Dongsheng,100,CN,1588959252,43,39.82,109.98,10.91,5.35
Iqaluit,75,CA,1588959214,50,63.75,-68.51,1.0,6.2
Nabire,100,ID,1588959253,89,-3.37,135.48,25.81,1.42
Umm Kaddadah,1,SD,1588959253,11,13.6,26.69,32.15,6.12
Souillac,20,MU,1588959253,94,-20.52,57.52,23.0,1.5
Dobroye,75,RU,1588959253,81,52.87,39.81,11.0,2.0
Cape Town,0,ZA,1588959254,88,-33.93,18.42,19.44,3.6
New Norfolk,97,AU,1588959254,77,-42.78,147.06,9.44,0.89
Bluff,36,NZ,1588959254,81,-46.6,168.33,9.9,5.81
Avarua,6,CK,1588959255,94,-21.21,-159.78,24.0,1.0
Dikson,100,RU,1588959255,98,73.51,80.55,-0.63,11.16
Atuona,71,PF,1588959255,73,-9.8,-139.03,27.44,8.29
Busselton,0,AU,1588959256,67,-33.65,115.33,8.33,2.88
Albany,100,US,1588958959,16,42.6,-73.97,13.33,3.38
Pangnirtung,90,CA,1588959256,79,66.15,-65.71,-5.0,3.1
La Ronge,90,CA,1588959256,51,55.1,-105.28,4.0,3.6
Bathsheba,20,BB,1588959256,62,13.22,-59.52,31.0,9.8
Mataura,43,NZ,1588959257,89,-46.19,168.86,7.39,1.78
Peniche,88,PT,1588959257,74,39.36,-9.38,18.33,3.13
El Silencio,20,VE,1588959257,70,10.5,-66.92,30.56,1.5
Buala,44,SB,1588959257,81,-8.14,159.59,27.02,1.87
Mujiayingzi,33,CN,1588959258,67,42.12,118.78,11.06,2.01
Paita,13,PE,1588959258,45,-5.09,-81.11,31.0,7.2
Rikitea,27,PF,1588959258,71,-23.12,-134.97,24.26,4.11
Xining,100,CN,1588959258,85,36.62,101.77,1.95,1.94
Cabo San Lucas,5,MX,1588959259,19,22.89,-109.91,30.0,2.6
Evansville,90,US,1588959128,81,37.97,-87.56,10.56,5.1
Punta Arenas,87,CL,1588959259,76,-53.15,-70.92,11.0,4.6
Batagay-Alyta,98,RU,1588959259,93,67.8,130.41,-11.14,1.31
Itarema,90,BR,1588959260,80,-2.92,-39.92,28.81,3.75
Basco,0,PH,1588959260,74,20.45,121.97,27.68,2.74
Arraial do Cabo,40,BR,1588959260,69,-22.97,-42.03,25.0,4.1
Mehamn,40,NO,1588959230,64,71.04,27.85,2.0,3.6
Thompson,75,CA,1588959241,68,55.74,-97.86,-2.0,2.1
Porbandar,20,IN,1588959261,89,21.64,69.61,29.0,4.1
Vaini,75,TO,1588959261,100,-21.2,-175.2,25.0,4.6
Cockburn Town,75,TC,1588959261,74,21.46,-71.14,30.0,4.1
Khatanga,79,RU,1588959261,93,71.97,102.5,-6.76,8.41
Hermanus,0,ZA,1588959262,87,-34.42,19.23,17.32,4.29
Jamestown,90,US,1588959262,64,42.1,-79.24,2.78,6.2
Doha,61,QA,1588958923,23,25.29,51.53,31.0,4.1
Qaanaaq,87,GL,1588959262,87,77.48,-69.36,-8.04,0.91
Faya,65,SA,1588959263,77,18.39,42.45,22.0,2.6
Fomboni,4,KM,1588959263,79,-12.28,43.74,27.39,7.81
Hasaki,61,JP,1588959263,82,35.73,140.83,13.0,3.1
Valley,1,US,1588959263,23,45.13,-116.13,12.0,2.6
Butaritari,90,KI,1588959264,75,3.07,172.79,28.11,1.63
Yerbogachën,0,RU,1588959264,83,61.28,108.01,-1.5,1.28
Esperance,75,AU,1588959264,87,-33.87,121.9,10.0,1.0
Khandyga,100,RU,1588959264,96,62.67,135.6,1.45,2.92
Mandalgovi,77,MN,1588959265,62,45.76,106.27,5.56,9.37
Ullapool,92,GB,1588959265,90,57.9,-5.16,10.0,0.45
Tuktoyaktuk,5,CA,1588959265,78,69.45,-133.04,-8.0,7.7
Boyolangu,100,ID,1588959265,89,-8.12,111.89,25.21,0.51
Shimoda,89,JP,1588959266,67,34.67,138.95,15.04,2.33
San Angelo,99,US,1588959221,32,31.46,-100.44,22.22,10.33
Vila Franca do Campo,75,PT,1588959266,87,37.72,-25.43,15.0,7.7
Araouane,0,ML,1588959267,7,18.9,-3.53,38.5,2.66
Deputatsky,100,RU,1588959032,99,69.3,139.9,-4.85,1.48
Ostrovnoy,94,RU,1588959267,91,68.05,39.51,1.15,3.84
Bereda,79,ES,1588959267,97,43.27,-7.54,21.11,0.45
Port Hedland,0,AU,1588959268,82,-20.32,118.57,20.0,2.6
Nechí,87,CO,1588959268,49,8.09,-74.78,35.89,0.97
Scarborough,79,GB,1588959268,72,54.28,-0.4,16.11,0.45
Alice Springs,0,AU,1588959198,28,-23.7,133.88,15.0,3.1
Port Alfred,3,ZA,1588959269,95,-33.59,26.89,18.33,0.89
Puerto Ayora,20,EC,1588959270,74,-0.74,-90.35,28.0,8.2
Chui,7,UY,1588959270,49,-33.7,-53.46,17.4,3.32
Barrow,90,US,1588959260,92,71.29,-156.79,-8.0,5.7
Nagtipunan,65,PH,1588959270,83,16.22,121.6,24.57,0.17
Jacqueville,20,CI,1588959271,83,5.21,-4.41,28.0,3.6
Solnechnyy,0,RU,1588959271,80,50.72,136.63,2.87,1.57
Bambous Virieux,20,MU,1588959271,94,-20.34,57.76,23.33,1.5
Ushuaia,90,AR,1588959096,100,-54.8,-68.3,6.0,2.1
Kapaa,40,US,1588959272,69,22.08,-159.32,23.0,7.7
George Town,40,MY,1588959000,94,5.41,100.34,26.0,2.1
Mumford,37,GH,1588959272,80,5.26,-0.76,28.57,6.17
Soyo,76,AO,1588959273,88,-6.13,12.37,26.77,3.37
Atar,0,MR,1588959274,9,20.52,-13.05,39.42,5.86
Fort-Shevchenko,72,KZ,1588959274,86,44.51,50.26,16.86,7.43
Carnarvon,83,AU,1588959275,42,-24.87,113.63,20.32,9.07
Hobyo,1,SO,1588959275,72,5.35,48.53,29.68,5.06
Bredasdorp,0,ZA,1588959275,93,-34.53,20.04,16.0,1.0
Tasiilaq,0,GL,1588959276,69,65.61,-37.64,1.0,2.6
Calabozo,91,VE,1588959276,26,8.92,-67.43,37.32,4.42
Hualmay,8,PE,1588959276,67,-11.1,-77.61,23.31,5.04
Hobart,75,AU,1588959042,87,-42.88,147.33,9.44,0.5
Nikolskoye,60,RU,1588959277,37,59.7,30.79,10.56,4.0
Santa Rosa,75,PH,1588959277,74,14.31,121.11,30.0,2.6
São Filipe,73,CV,1588959277,73,14.9,-24.5,24.0,5.24
Minggang,22,CN,1588959278,82,32.46,114.05,15.91,4.18
Khasan,100,RU,1588959278,77,42.43,130.64,11.63,0.84
Upernavik,100,GL,1588959278,86,72.79,-56.15,-5.75,2.65
Ankazobe,20,MG,1588959279,88,-18.32,47.12,18.0,4.1
Sinnai,50,IT,1588959279,60,39.3,9.2,22.0,8.2
Tiksi,100,RU,1588959279,96,71.69,128.87,-9.58,8.19
Kavieng,0,PG,1588959279,74,-2.57,150.8,28.14,3.49
Challapata,0,BO,1588959280,29,-18.9,-66.77,14.52,2.27
Bosaso,28,SO,1588959280,66,11.28,49.18,30.89,1.6
Haines Junction,69,CA,1588959280,46,60.75,-137.51,9.96,0.96
Wanning,11,CN,1588959280,92,18.8,110.4,26.7,4.67
Kaitangata,56,NZ,1588959281,86,-46.28,169.85,9.44,1.34
Muros,60,ES,1588959281,79,42.78,-9.06,18.89,2.68
Kasongo-Lunda,69,CD,1588959281,69,-6.47,16.82,25.28,0.75
Tautira,20,PF,1588959281,83,-17.73,-149.15,26.0,1.5
Shache,89,CN,1588959282,49,38.42,77.24,17.35,0.63
Saskylakh,47,RU,1588959282,92,71.92,114.08,-19.34,0.74
Katsuura,55,JP,1588959282,67,35.13,140.3,17.0,6.2
San Quintín,27,MX,1588959282,47,30.48,-115.95,23.41,4.31
Chokurdakh,100,RU,1588959283,96,70.63,147.92,-7.53,3.58
Lebu,100,CL,1588959284,75,-37.62,-73.65,16.79,6.56
Anjangaon,6,IN,1588959284,17,21.16,77.31,33.27,3.06
Pontianak,100,ID,1588959284,93,-0.03,109.33,25.43,1.07
Dwārka,0,IN,1588959285,85,22.24,68.97,27.96,7.12
Diré,82,ML,1588959285,19,12.28,-10.97,40.14,1.69
Taltal,21,CL,1588959285,57,-25.4,-70.48,19.85,1.47
Skellefteå,100,SE,1588959089,77,64.75,20.95,7.22,3.6
Sibagat,44,PH,1588959286,91,8.82,125.7,23.03,0.68
Vestmannaeyjar,20,IS,1588959286,75,63.44,-20.27,7.0,7.7
Lavrentiya,99,RU,1588959286,92,65.58,-171.0,0.23,5.83
Hilo,90,US,1588959007,73,19.73,-155.09,21.11,2.1
Yellowknife,90,CA,1588959033,69,62.46,-114.35,4.0,6.2
Minudasht,20,IR,1588959288,77,37.23,55.37,18.0,2.1
Tūkrah,0,LY,1588959288,70,32.53,20.58,17.11,7.64
Kruisfontein,0,ZA,1588959288,98,-34.0,24.73,14.31,0.8
Sept-Îles,75,CA,1588959288,34,50.2,-66.38,11.0,4.1
Ludvika,75,SE,1588959289,37,60.15,15.19,12.22,4.1
Nanortalik,89,GL,1588959289,76,60.14,-45.24,4.74,3.14
Alofi,89,NU,1588959289,100,-19.06,-169.92,21.0,1.0
Conde,75,BR,1588959289,66,-7.26,-34.91,30.0,4.6
Ancud,90,CL,1588959290,100,-41.87,-73.82,14.44,9.8
Dingcheng,2,CN,1588959290,89,32.13,115.04,15.76,3.34
Antofagasta,20,CL,1588959290,68,-23.65,-70.4,18.0,3.6
São José da Coroa Grande,75,BR,1588959290,68,-8.9,-35.15,28.18,3.48
Sur,0,OM,1588959189,43,22.57,59.53,32.84,3.99
Ponta do Sol,20,PT,1588959291,64,32.67,-17.1,22.0,8.7
Derzhavīnsk,0,KZ,1588959291,44,51.1,66.32,18.33,7.88
Ribeira Grande,20,PT,1588959291,63,38.52,-28.7,19.0,10.3
Nantucket,90,US,1588959292,53,41.28,-70.1,11.67,5.1
Adrar,56,MR,1588959292,12,20.5,-10.07,38.49,3.66
Yarim,57,YE,1588959292,54,14.3,44.38,16.57,2.76
Provideniya,67,RU,1588959294,81,64.38,-173.3,1.77,8.39
